station_name,latitude,longitude,station_type,nearby_subway_stations_count,nearby_shops_count,nearby_restaurants_count,nearby_universities_count,nearby_offices_count
101 Smith Place,42.392568,-71.150761,Park/Recreation,0,5,3,0,3
1200 Beacon St,42.34414898749529,-71.11467361450195,Park/Recreation,1,4,7,3,0
160 Arsenal,42.36466403441681,-71.17569386959076,Park/Recreation,0,7,4,0,3
160 Arsenal St,42.36466403441681,-71.17569386959076,Park/Recreation,0,7,4,0,3
175 N Harvard St,42.363796,-71.129164,Park/Recreation,0,7,5,4,5
18 Dorrance Warehouse,42.387151,-71.075978,Transit Hub,1,8,7,0,3
191 Beacon St,42.38032335045416,-71.10878612855231,Commercial,0,34,21,2,7
2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Park/Recreation,0,0,0,0,2
30 Dane St,42.38100143038052,-71.10402522613185,Commercial,0,51,28,0,7
30 Dane St.,42.38100143038052,-71.10402522613185,Commercial,0,51,28,0,7
30 Dane St. (former),42.38112284630097,-71.10410027224134,Commercial,0,51,27,0,7
300 Summer St,42.349784,-71.048935,Commercial,1,16,41,0,20
325 Binney St.,42.36722,-71.08903,Office,0,14,0,1,31
359 Broadway,42.370801,-71.104451,Office,0,0,23,0,23
359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Commercial,0,41,23,0,23
39 Brighton Ave,42.35299558,-71.126578,Commercial,0,84,88,1,34
40 Thorndike St,42.369061,-71.079999,Park/Recreation,0,26,27,0,15
515 Somerville Ave (Temp. Winter Location),42.38322726839113,-71.10606908798218,Commercial,0,40,16,1,8
55 Wheeler Street,42.390821,-71.143946,Park/Recreation,0,18,13,0,3
555 Metropolitan Ave,42.2681,-71.11924,Park/Recreation,0,2,1,0,0
606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Residential,0,7,4,0,0
615 Broadway,42.394541,-71.030828,Park/Recreation,0,1,3,0,2
645 Summer St,42.341780891371904,-71.03987016504107,Residential,0,1,6,0,2
699 Mt Auburn St,42.37500235137831,-71.14871613699506,Park/Recreation,0,6,2,0,4
699 Mt Auburn St (former),42.37497659215716,-71.14863030630659,Park/Recreation,0,6,2,0,4
7 Acre Park,42.41143222973408,-71.06823265090497,Park/Recreation,0,1,1,0,0
700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,Park/Recreation,3,27,50,3,12
700 Huron Ave,42.380788172914286,-71.15412890911102,Park/Recreation,0,1,1,0,1
75 Binney St,42.36550728505653,-71.0801375997653,Park/Recreation,1,21,33,1,28
780 Morrissey Blvd,42.295305,-71.047186,Park/Recreation,0,12,3,0,0
84 Cambridgepark Dr,42.3936,-71.143941,Park/Recreation,1,15,10,0,3
855 Broadway,42.398417726101584,-71.02390923402707,Park/Recreation,0,4,3,0,2
87-101 Cambridgepark Drive,42.395221870310664,-71.14421904097979,Park/Recreation,1,7,6,0,2
8D QC Station 01,42.34503315560333,-71.09664916992188,Park/Recreation,2,33,53,3,14
955 Mass Ave,42.36895180540729,-71.10998779535294,Park/Recreation,1,44,39,1,22
99 Coolidge Ave,42.363675,-71.151786,Park/Recreation,0,10,3,0,1
Adams Branch Library,42.286011,-71.054689,Residential,0,3,3,0,0
Adams St at Lonsdale St,42.291679428741226,-71.05726346409938,Park/Recreation,0,1,1,0,0
Adams St at Mallet St.,42.290891,-71.056746,Park/Recreation,0,2,1,0,0
Addison St at Saratoga St,42.38518146513944,-71.0151367,Park/Recreation,0,2,5,0,0
Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,Park/Recreation,0,13,16,2,4
Airport T Stop - Bremen St at Brooks St,42.37534192670574,-71.031318,Park/Recreation,1,57,27,0,5
Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,University,0,3,5,3,3
Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,Park/Recreation,1,7,6,0,1
Alewife Station at Russell Field,42.396105,-71.139459,Park/Recreation,1,6,4,0,2
Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,Commercial,0,65,69,1,23
Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,Commercial,0,91,90,1,31
Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,42.34922469338298,-71.13275302578586,Commercial,0,91,90,1,31
Alpine Path at Concord Ave,42.38536765218425,-71.13775670528412,Park/Recreation,0,27,10,0,4
American Legion Hwy at Canterbury St,42.278811581565975,-71.11687703062671,Residential,0,4,2,0,1
American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671,Residential,0,4,2,0,1
American Legion Hwy at Hyde Park Ave,42.27265394101898,-71.119903922081,Park/Recreation,0,1,0,0,0
Ames St at Broadway,42.3636929,-71.0875672,Park/Recreation,1,16,41,1,47
Ames St at Main St,42.3625,-71.08822,Park/Recreation,1,16,40,1,40
Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,Park/Recreation,1,13,7,0,0
Andrew T Stop - Dorchester Ave at Dexter St,42.330473650415165,-71.05701684951782,Park/Recreation,1,13,6,0,0
Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,Commercial,1,58,112,0,30
Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,Commercial,1,58,113,0,24
Arch St at Franklin St,42.35533501941256,-71.0582291708306,Commercial,7,93,204,2,63
Archdale Rd at Washington St,42.29266592872725,-71.12119538714069,Park/Recreation,0,9,3,0,1
Archdale Rd at Washington St (former),42.292706,-71.121145,Park/Recreation,0,9,3,0,1
Arsenal Yards,42.36277388549605,-71.15764854490408,Park/Recreation,0,16,17,0,1
Arsenal on the Charles,42.36349850640871,-71.16421658177295,Park/Recreation,0,9,13,0,1
Ashley St at Boardman,42.389155,-71.010409,Park/Recreation,1,13,11,0,1
Ashmont T Stop,42.2856944,-71.0641389,Transit Hub,2,3,4,0,2
Assembly Square T,42.39223284004627,-71.07746601104736,Park/Recreation,1,55,22,0,0
Atlantic Ave at Beach St,42.35070811,-71.05658926,Commercial,3,30,115,3,27
Au Bon Pain Way at Fid Kennedy Ave,42.3461009,-71.0291997,Residential,0,0,4,0,1
Auburn St. at Mystic River,42.41759089672136,-71.12608127863496,Park/Recreation,0,14,6,0,2
B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Park/Recreation,1,15,37,3,5
B.U. Central T Stop - 725 Commonwealth Ave,42.350406,-71.108279,Park/Recreation,1,15,37,3,5
BCBS Quincy,42.27600498756665,-71.03924982267927,Park/Recreation,0,0,2,0,2
BIDMC - Brookline at Burlington St,42.345733,-71.100694,Park/Recreation,3,39,68,4,17
Back Bay / South End Station,42.34807412317439,-71.07657015323639,Commercial,4,279,115,0,59
Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,Commercial,4,279,115,0,59
Bacon St at Washington St,42.35711920909866,-71.1860453666327,Park/Recreation,0,9,5,0,1
Ball Sq,42.399368,-71.111115,Park/Recreation,1,10,7,1,2
Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Park/Recreation,1,2,6,0,1
Bartlett St at John Elliot Sq (former),42.32946325922549,-71.09015820552486,Park/Recreation,1,2,6,0,1
Beach St at Freeport St,42.303674088927075,-71.05425953865051,Park/Recreation,0,7,7,0,4
Beachmont Square at Suffolk Downs,42.3976083,-70.99307222,Transit Hub,1,0,1,0,0
Beacon St / Mass Ave,42.350851,-71.089886,Park/Recreation,2,80,49,1,16
Beacon St at Arlington St,42.35554932336134,-71.07284188270569,Park/Recreation,1,164,28,0,37
Beacon St at Charles St,42.356052,-71.069849,Park/Recreation,2,130,32,0,37
Beacon St at Englewood Ave,42.337369153709254,-71.14485977232107,Transit Hub,3,10,14,0,0
Beacon St at Hawes St,42.34496783328529,-71.11040176903771,Park/Recreation,3,8,17,5,1
Beacon St at Massachusetts Ave,42.35082680669095,-71.0898108780384,Park/Recreation,2,81,49,1,16
Beacon St at St. Paul St,42.34373094998716,-71.11614107161584,Park/Recreation,0,14,17,3,1
Beacon St at Tappan St,42.33826680058037,-71.13894682028331,Transit Hub,1,7,11,0,0
Beacon St at Washington / Kirkland,42.37842,-71.105668,Commercial,0,32,19,1,4
Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828046,Park/Recreation,0,1,0,0,0
Bellevue T Stop,42.28611420958351,-71.14636927843094,Transit Hub,1,5,4,0,0
Bellingham Square,42.3931961102951,-71.03344559669495,Park/Recreation,0,2,7,0,3
Bennington St at Byron St,42.383532520117896,-71.01619094610214,Park/Recreation,0,2,2,0,0
Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,Park/Recreation,1,13,12,0,1
Bennington St at Constitution Beach (former),42.385249,-71.010601,Park/Recreation,1,13,12,0,1
Bennington St at Marion St,42.37590859,-71.03598452,Park/Recreation,1,93,37,0,10
Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,Commercial,0,28,18,0,7
Big Papi Station,42.34734473177431,-71.1001680795016,Park/Recreation,3,39,65,3,16
Bike Town at Moakley Park,42.32586,-71.049142,Park/Recreation,0,0,0,0,0
Binney St / Sixth St,42.36608797388682,-71.08633603909765,Park/Recreation,1,14,38,1,40
Blossom St at Charles St,42.36435589027983,-71.0695936904267,Park/Recreation,2,26,24,1,9
Blossom St at Charles St 1 1 1,42.363134,-71.067499,Park/Recreation,4,56,45,1,17
Blue Hill Ave at Almont St,42.27462067181224,-71.09372552493369,Park/Recreation,1,0,0,0,0
Blue Hill Ave at Almont St (former),42.27454525528758,-71.09372016051566,Park/Recreation,1,0,0,0,0
Blue Hill Ave at Havelock St,42.286012,-71.090986,Residential,0,0,0,0,0
Blue Hill Ave at Southwood St,42.31786020589987,-71.07798628527235,Residential,0,1,1,0,1
Blue Hill Ave at Southwood St (former),42.31784,-71.07796,Residential,0,1,1,0,1
Boston City Hall - 28 State St,42.35892,-71.057629,Park/Recreation,8,94,147,2,53
Boston College T,42.33987891612856,-71.16708934307098,Park/Recreation,1,0,10,3,0
Boston Convention & Exhibition Center,42.3475,-71.0441,Commercial,0,6,35,0,11
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,Commercial,0,8,34,0,18
Boston East - 126 Border St,42.373312125824704,-71.0410200806291,Commercial,1,98,50,0,21
Boston Landing,42.35656092308941,-71.14167537549292,Park/Recreation,0,35,23,0,18
Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,University,0,7,9,3,5
Boston Medical Center - E Concord St at Harrison Ave,42.33639915372498,-71.07306711393903,University,0,7,9,3,6
Boston Public Library - 700 Boylston St.,42.349673,-71.077303,Park/Recreation,4,283,112,1,57
Boston Public Market,42.36254854409333,-71.0573735833168,Commercial,9,79,140,1,31
Boston Public Market - Surface Rd at Sudbury St,42.362561,-71.057489,Commercial,9,79,137,1,31
Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,Park/Recreation,0,1,1,0,2
Boylston / Mass Ave,42.347265,-71.088088,Park/Recreation,1,147,85,4,32
Boylston St / Berkeley St,42.350989,-71.073644,Park/Recreation,4,187,71,0,50
Boylston St / Washington St,42.352409,-71.062679,Park/Recreation,5,68,151,5,33
Boylston St at Arlington St,42.352052,-71.070464,Park/Recreation,2,128,64,0,42
Boylston St at Arlington St TEMPORARY WINTER LOCATION,42.35258343837699,-71.06766249993596,Park/Recreation,5,89,96,4,36
Boylston St at Berkeley St,42.3511419825475,-71.07329249382019,Park/Recreation,4,185,67,0,51
Boylston St at Charles St,42.3525760946701,-71.06764405041758,Park/Recreation,5,89,98,4,36
Boylston St at Charles St (Temp Winter Location),42.35258524849636,-71.06770277023315,Park/Recreation,5,90,94,4,36
Boylston St at Dartmouth St,42.35019319808638,-71.07720464005979,Park/Recreation,4,281,108,1,58
Boylston St at Dartmouth St FORMER,42.350413,-71.07655,Park/Recreation,4,274,99,0,56
Boylston St at Exeter St,42.349589423682445,-71.0794677917329,Park/Recreation,3,268,121,1,51
Boylston St at Fairfield St,42.348803822833936,-71.08236908912659,Park/Recreation,2,270,122,2,45
Boylston St at Jersey St,42.344650628878306,-71.09732501226972,Park/Recreation,2,33,48,3,13
Boylston St at Jersey St (former),42.344695708662215,-71.09723791480063,Park/Recreation,2,33,48,3,13
Boylston St at Massachusetts Ave,42.34740620525209,-71.08678414955648,Park/Recreation,1,197,105,3,33
Boylston St at Washington St,42.352409,-71.062679,Park/Recreation,5,68,151,5,33
Boylston St. at Arlington St.,42.352033,-71.070627,Park/Recreation,2,133,63,0,43
Boylston at Fairfield,42.348762,-71.082383,Park/Recreation,2,271,121,2,45
Boynton Yards at 101 South Street,42.37546,-71.091217,Commercial,2,62,37,0,14
Bremen St at Marion St,42.37410622047334,-71.03276252757496,Park/Recreation,1,73,27,0,9
Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116516,Park/Recreation,2,8,11,0,6
Brigham Cir / Huntington Ave,42.334073,-71.105221,Park/Recreation,0,6,19,5,3
Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,Park/Recreation,0,6,22,5,3
Brighton Ave at Linden St,42.3528376,-71.1296752,Commercial,0,120,102,2,43
Brighton Center,42.34894857235593,-71.15027189254761,Park/Recreation,0,4,14,0,1
Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,Park/Recreation,0,4,14,0,1
Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,Park/Recreation,0,12,8,1,6
Broad Canal Way at Third Street,42.36304549626695,-71.08287078916874,Park/Recreation,1,15,33,1,35
Broad St at Central St,42.35849449039304,-71.05426469875965,Commercial,5,76,129,1,42
Broadway Opposite Norwood Ave  (Temp Winter Station),42.396764,-71.102376,Park/Recreation,1,19,4,0,2
Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,Commercial,1,14,7,0,2
Broadway T Stop,42.343048583900966,-71.058034,Commercial,1,11,17,0,2
Broadway T Stop (former),42.3428,-71.05751,Transit Hub,1,10,19,0,3
Broadway and Cabot,42.4021215,-71.0195408,Park/Recreation,0,9,6,0,2
Broadway at Beacham St,42.39836059620832,-71.06373842814719,Commercial,0,17,4,0,0
Broadway at Central St,42.39517150121575,-71.09850591982195,Commercial,0,25,4,0,3
Broadway at Gerrish Ave,42.39453079292221,-71.03085594484583,Park/Recreation,0,1,3,0,2
Broadway at Grafton St,42.40994213011757,-71.14009319811885,Commercial,0,28,6,0,8
Broadway at Kittie Knox Bike Path,42.36412658996667,-71.0873863200095,Park/Recreation,1,16,42,1,46
Broadway at Lynde St,42.39648358247693,-71.06546759905541,Park/Recreation,0,22,4,0,0
Broadway at Maple St,42.410346909767846,-71.05260457852637,Commercial,0,52,14,0,29
Brookline Town Hall,42.33376472623494,-71.12046446660315,Park/Recreation,1,18,16,0,2
Brookline Village - Pearl Street @ MBTA,42.332799,-71.116205,Park/Recreation,1,9,19,1,3
Brookline Village - Pearl Street at MBTA,42.332799,-71.116205,Park/Recreation,1,9,19,1,3
Brookline Village - Station Street @ MBTA,42.33289074055233,-71.11658334732056,Park/Recreation,1,9,19,1,3
Brookline Village - Station Street @ MBTA TEMPORARY WINTER LOCATION,42.33376472623494,-71.12046446660315,Park/Recreation,1,18,16,0,2
Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,Park/Recreation,1,9,19,1,3
Bunker Hill Community College,42.37408991426522,-71.06905996799469,Park/Recreation,1,9,5,0,2
Burlington Ave at Brookline Ave,42.345733,-71.100694,Park/Recreation,3,39,68,4,17
Buswell St. at Park Dr.,42.347241,-71.105301,Park/Recreation,3,35,58,4,13
Butler T Stop,42.272548,-71.062882,Park/Recreation,2,2,3,0,1
Cambridge Crossing at North First Street,42.371141,-71.076198,Park/Recreation,2,20,16,0,12
Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,Commercial,0,37,27,0,19
Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Park/Recreation,0,32,29,1,16
Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Commercial,1,42,26,0,13
Cambridge St at Joy St,42.36125721646537,-71.06528744101524,Park/Recreation,4,91,73,2,31
Cambridge St at Warren St,42.350225,-71.146678,Park/Recreation,0,2,5,0,3
Cambridge St. at Joy St.,42.361174,-71.065142,Park/Recreation,4,90,74,2,31
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Park/Recreation,1,14,21,0,21
Cambridgeside Pl at Land Blvd,42.366929,-71.076512,Park/Recreation,1,14,21,0,21
Canal St at Causeway St,42.36530094929082,-71.06092190993877,Transit Hub,6,46,74,1,13
Canal St. at Causeway St.,42.364214,-71.059778,Commercial,6,63,102,1,15
Carr Park,42.434365,-71.094755,Park/Recreation,0,1,1,0,1
Cary Square,42.398135645582464,-71.030709722545,Park/Recreation,0,1,3,0,1
Cedar Grove T Stop,42.27960759693163,-71.06022119527552,Park/Recreation,2,3,3,0,1
Central Ave at River St,42.27094707029229,-71.07337901405117,Park/Recreation,2,3,3,0,0
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Commercial,2,55,58,0,28
Central Square - East Boston,42.37430732260765,-71.03807777166365,Park/Recreation,0,107,40,0,17
Central Square East Boston,42.37544912547037,-71.03918548682486,Park/Recreation,0,89,36,0,12
Central Square East Boston - Porter Street at London Street,42.374301316178226,-71.03808671246952,Park/Recreation,0,107,40,0,17
Central Square at Mass Ave / Essex St,42.36507,-71.1031,Commercial,2,53,56,1,30
Centre St at Allandale St,42.300806,-71.127436,Park/Recreation,0,0,0,0,1
Centre St at Commonwealth Ave,42.3362358,-71.1934421,Park/Recreation,0,1,2,2,2
Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,Transit Hub,2,6,6,0,1
Centre St at Seaverns Ave,42.3121203,-71.1142981,Park/Recreation,0,35,24,0,14
Centre St at Seaverns Ave (former),42.312120283566095,-71.11429806807791,Park/Recreation,0,35,24,0,14
Centre St at W. Roxbury Post Office,42.286331991127746,-71.15344755369732,Transit Hub,1,7,8,0,1
Centre St at Washington St,42.35574334805774,-71.18641942508475,Park/Recreation,0,4,3,0,1
Centre St. at Allandale St.,42.300806,-71.127436,Park/Recreation,0,0,0,0,1
Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,Park/Recreation,1,70,31,0,15
Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,Park/Recreation,1,69,31,0,16
Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399,Park/Recreation,1,72,32,0,14
Charles River Greenway - California St. at Fifth Ave,42.36455361053197,-71.19100391864777,Park/Recreation,0,12,15,0,5
Charles St S at Stuart,42.35077778,-71.06669444,Park/Recreation,4,79,107,5,30
Charles St S at Stuart St,42.35077778,-71.06669444,Park/Recreation,4,79,107,5,30
Charles St and Beacon St,42.356052,-71.069849,Park/Recreation,2,130,32,0,37
Charles St at Beacon St,42.356052,-71.069849,Park/Recreation,2,130,32,0,37
Charles St at Pinckney St,42.35872530462163,-71.07079532006537,Park/Recreation,1,71,33,0,16
Charles st and Beacon St,42.356052,-71.069849,Park/Recreation,2,130,32,0,37
Charlestown - Main St at Austin St,42.375603,-71.064608,Park/Recreation,1,10,11,0,1
Charlestown - Warren St at Chelsea St,42.371848,-71.060292,Park/Recreation,0,10,9,0,3
Charlestown Navy Yard,42.374124549426526,-71.05481199938367,Park/Recreation,0,4,4,0,3
Charlestown Navy Yard (former),42.374010653844934,-71.0548335313797,Park/Recreation,0,4,4,0,3
Chelsea Square,42.390226711033826,-71.03857017704286,Park/Recreation,0,5,10,0,3
Chelsea St at Medford St,42.37857,-71.05298,Park/Recreation,0,2,2,0,2
Chelsea St at Saratoga St,42.379772,-71.027448,Park/Recreation,1,33,21,0,3
Chelsea St at Vine St,42.40328056972533,-71.04762639859473,Commercial,0,18,10,0,0
Chelsea Station,42.39636527849676,-71.03987179230899,Transit Hub,1,4,10,0,1
Chestnut Hill Ave at Ledgemere Rd,42.343706,-71.153257,University,0,2,7,2,1
Chestnut Hill Ave at Winship St,42.34560832,-71.15276024,University,0,6,19,2,2
Chestnut Hill Ave. at Ledgemere Road,42.343706,-71.153257,University,0,2,7,2,1
Chestnut St at Poplar St,42.377636,-71.085954,Commercial,1,45,9,0,6
Child St at North St,42.37150494100319,-71.07249312120985,Park/Recreation,2,13,12,0,8
Child Street at Brian P. Murphy Staircase,42.371976784679745,-71.07200495972165,Park/Recreation,2,9,11,0,6
Chinatown Gate Plaza,42.351356,-71.059367,Park/Recreation,6,42,155,4,33
Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,Park/Recreation,6,42,155,4,33
Chinatown T Stop,42.352409,-71.062679,Park/Recreation,5,68,151,5,33
Christian Science Plaza,42.343864,-71.085918,Park/Recreation,3,107,85,3,17
Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245146,-71.08582377433777,Park/Recreation,3,94,83,3,16
Church St,42.37433925370521,-71.11966431146357,Park/Recreation,1,89,68,9,19
Circuit Drive at American Legion Hwy,42.29704126420948,-71.09171926975249,Park/Recreation,0,1,0,0,1
Clarendon Hill at Broadway,42.406302,-71.132446,Commercial,0,18,10,0,9
Clarendon St at Commonwealth Ave,42.35219035145307,-71.0760041699723,Park/Recreation,2,213,73,0,47
Clarendon St at Newbury St,42.35159662465317,-71.0756166279316,Park/Recreation,4,232,80,0,47
Cleary Sq,42.2556,-71.12444,Transit Hub,2,6,5,0,1
Cleveland Circle,42.335543083570826,-71.15061519672052,Park/Recreation,2,6,12,0,2
Cleveland Circle (former),42.33553091872319,-71.15072786808014,Park/Recreation,2,6,12,0,2
Clinton St at North St,42.3607028354884,-71.05524927377701,Commercial,6,97,156,2,33
Codman Square Library,42.2873611,-71.071111,Residential,0,1,1,0,2
Codman Square Library (former),42.2873611,-71.0711111,Residential,0,1,1,0,2
Colleges of the Fenway,42.340021,-71.100812,Park/Recreation,0,11,32,7,9
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512249236,-71.10061883926392,Park/Recreation,0,14,33,7,9
Columbia Rd at Ceylon St,42.309572,-71.0729,Park/Recreation,0,0,0,0,1
Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,Park/Recreation,0,3,2,0,1
Columbia Rd at Tierney Community Center (former),42.33023264684929,-71.0505741463021,Park/Recreation,0,3,2,0,1
Columbus Ave at Massachusetts Ave,42.340542615516355,-71.08138847914233,Commercial,2,47,47,3,8
Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,Commercial,2,92,70,1,21
Columbus Ave. at Mass. Ave.,42.340799,-71.081572,Commercial,2,47,53,3,8
Commercial St at Charter St,42.36817,-71.056847,Park/Recreation,3,36,66,0,6
Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,Park/Recreation,0,29,35,1,13
Commonwealth Ave at Agganis Way,42.35169201885973,-71.11903488636017,Park/Recreation,0,24,25,1,7
Commonwealth Ave at Blandford Mall,42.349,-71.10047179,Park/Recreation,3,31,43,1,15
Commonwealth Ave at Buick St,42.351246,-71.115639,Park/Recreation,0,13,16,2,4
Commonwealth Ave at Chestnut Hill Dr,42.338415,-71.154428,Park/Recreation,1,8,18,2,3
Commonwealth Ave at Chiswick Rd,42.34024644768889,-71.15168806174552,Park/Recreation,1,12,21,2,3
Commonwealth Ave at Chiswick Rd (former),42.3402177416592,-71.1517309399278,Park/Recreation,1,12,21,2,3
Commonwealth Ave at Fidelis Way,42.345865,-71.141902,Park/Recreation,0,18,9,0,3
Commonwealth Ave at Granby St,42.349856,-71.103825,Park/Recreation,2,27,49,3,12
Commonwealth Ave at Griggs St,42.34922469338298,-71.13275302578586,Commercial,0,91,90,1,31
Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847,Park/Recreation,0,18,9,1,4
Commonwealth Ave at Kelton St (former),42.348368023549895,-71.13997621466297,Park/Recreation,0,18,9,1,4
Commonwealth Ave at Naples Rd,42.351911,-71.123798,Park/Recreation,0,35,37,1,16
Community Path at Cedar Street,42.39407223665884,-71.11133694648743,Commercial,1,14,8,0,2
Community Path at Lowell St,42.392525,-71.105587,Commercial,1,17,12,0,4
Concord Ave at Spinelli Place,42.390719,-71.1538877,Park/Recreation,0,8,2,0,1
Congress / Sleeper,42.3511,-71.0496,Commercial,2,17,55,0,22
Congress St and Northern Ave,42.3482032222746,-71.0376513004303,Commercial,0,1,28,0,3
Congress St at Boston City Hall,42.36041774637169,-71.05752243543975,Commercial,7,103,158,2,46
Congress St at Boston Wharf Rd,42.34951487,-71.046713,Commercial,0,14,40,0,20
Congress St at North St,42.360613,-71.057452,Commercial,7,103,159,2,44
Congress St at Northern Ave,42.3481,-71.03764,Commercial,0,1,28,0,3
Congress St at Sleeper St,42.351004495946704,-71.04930013418198,Commercial,2,17,46,0,21
Constitution Rd at Chelsea St,42.3736,-71.05843,Park/Recreation,0,7,9,0,3
