station_name,latitude,longitude,station_type,nearby_subway_stations_count,nearby_shops_count,nearby_restaurants_count,nearby_universities_count,nearby_offices_count
Museum of Science,42.36769018024484,-71.07116281986237,Park/Recreation,2,11,9,0,7
Mystic Ave at Crescent St,42.41081,-71.106276,Park/Recreation,0,8,4,1,0
Mystic Valley Parkway at River Station,42.415091,-71.139177,Park/Recreation,0,8,1,0,0
N. Beacon St at N. Beacon Ct,42.36444157139109,-71.18091373646166,Park/Recreation,0,25,21,0,6
N. Harvard St at Harvard Way,42.36678297,-71.12517547,Park/Recreation,0,3,5,4,1
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Park/Recreation,0,2,1,0,3
Nashua Street at Red Auerbach Way,42.365673,-71.064263,Park/Recreation,5,26,32,0,14
Nashua Street at Red Auerbach Way [Extension],42.3658584571002,-71.064157369577,Park/Recreation,5,22,32,0,14
New Balance - 20 Guest St,42.35732921867706,-71.14673539996147,Park/Recreation,0,11,12,0,5
New Balance - 20 Guest St.,42.357402,-71.147782,Park/Recreation,0,9,12,0,4
New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,Park/Recreation,4,274,99,0,56
New Edgerly Plaza - Westland Ave at Edgerly Rd,42.34367194,-71.08742,Park/Recreation,3,74,76,3,16
Newbury St / Hereford St,42.348717,-71.085954,Park/Recreation,1,207,106,2,36
Newbury St at Hereford St,42.348717,-71.085954,Park/Recreation,1,207,106,2,36
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Commercial,1,15,13,0,0
Nichols Ave. at Watertown Greenway,42.36762048745005,-71.1565663665533,Park/Recreation,0,23,14,0,5
Norman St at Kelvin St,42.40985877544303,-71.06631867605756,Park/Recreation,0,2,1,0,0
Northampton St at Fellows St,42.333586070395285,-71.075188,University,0,7,7,2,3
Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035,Park/Recreation,0,5,2,0,0
Northeastern U / North Parking Lot,42.341814,-71.090179,Park/Recreation,1,38,50,3,8
Northeastern University - North Parking Lot,42.341814,-71.090179,Park/Recreation,1,38,50,3,8
Northern Ave at Haul Rd,42.347181,-71.035796,Residential,0,1,17,0,2
Northern Strand - West St & Wellington Ave,42.403444,-71.063278,Park/Recreation,0,11,2,0,0
Northern Strand at Bike Kitchen,42.42083422873447,-71.07216525162619,Commercial,0,17,13,0,7
Northern Strand at Main St,42.42386,-71.067793,Commercial,0,39,41,0,10
Northern Strand at Salem Street,42.441956,-71.01468,Residential,0,0,0,0,0
Northhampton St at Fellows St,42.333586070395285,-71.075188,University,0,7,7,2,3
Nubian Square - Bolling Building,42.329842993518085,-71.08386572459494,Park/Recreation,0,5,5,0,2
O'Brien Highway at First Street,42.370982,-71.076638,Park/Recreation,2,21,17,0,11
Oak Square - 615 Washington St,42.35057,-71.166491,Park/Recreation,0,4,11,2,1
Oak Square - Washington St at Bigelow St,42.35062298,-71.16744293,Park/Recreation,0,4,11,2,1
Oak Square YMCA,42.35048161669747,-71.16636693499458,Park/Recreation,0,4,11,2,1
Old Morse Park at Putnam Ave,42.35766247889882,-71.1084133386612,Park/Recreation,0,9,4,2,6
One Beacon St,42.358477644348106,-71.06135129928589,Commercial,7,88,121,2,48
One Brigham Circle,42.33392270136997,-71.10446508982932,Park/Recreation,0,6,18,5,2
One Brigham Circle (former),42.333919727205775,-71.10446777203833,Park/Recreation,0,6,18,5,2
One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,Park/Recreation,1,12,33,1,31
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Commercial,1,13,33,1,29
One Memorial Drive,42.361619320766856,-71.0804355052096,Park/Recreation,1,8,22,1,24
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Park/Recreation,1,12,12,0,1
Orr Sq (Shirley Ave),42.40715655698643,-70.99272429943085,Transit Hub,1,10,17,0,0
Packard Ave / Powderhouse Blvd,42.40449,-71.123413,Commercial,0,11,9,1,4
Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Commercial,0,11,9,1,4
Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,Park/Recreation,0,35,37,1,16
Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Park/Recreation,0,35,37,1,16
Park Dr at Buswell St,42.347241,-71.105301,Park/Recreation,3,35,58,4,13
Park Plaza at Charles St,42.351828068920675,-71.06781138111728,Park/Recreation,4,82,88,3,35
Park Plaza at Charles St (former),42.35186,-71.067688,Park/Recreation,4,83,90,3,35
Park Plaza at Charles St S.,42.351828068920675,-71.06781138111728,Park/Recreation,4,82,88,3,35
Park Plaza at Columbus Ave,42.35186,-71.067688,Park/Recreation,4,83,90,3,35
Park St at Norwell St,42.29442578670662,-71.07821760713703,Park/Recreation,1,0,1,0,0
Park Street T Stop - Tremont St at Park St,42.3566271,-71.062457,Park/Recreation,6,84,128,2,42
Parker St at Huntington Ave,42.3384884941905,-71.09261138044758,Park/Recreation,2,12,33,3,4
Pearl St at Medford St,42.388157054195254,-71.09588742256165,Park/Recreation,1,25,8,0,2
Pearl St at Milk St,42.35677593,-71.05549774,Commercial,5,83,145,2,53
Perry Park,42.37927324600841,-71.10341902831351,Commercial,0,50,30,0,5
Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Commercial,0,14,46,0,17
Piers Park,42.36501119822304,-71.03528559207916,Park/Recreation,1,16,13,0,4
Piers Park- Marginal St at East Boston Shipyard,42.36489045541549,-71.0350424052376,Park/Recreation,1,15,12,0,4
Pope John High School,42.420348701645025,-71.04419767862055,Commercial,0,26,9,0,4
Pope John Paul II Park - Neponset Trail at Hallet St,42.279774,-71.046085,Park/Recreation,0,4,0,0,0
Porter Square Station,42.387995,-71.119084,Commercial,2,70,38,3,8
Porzio Park,42.364119035231525,-71.02876782417297,Park/Recreation,0,2,7,0,2
Post Office Square,42.35585435522005,-71.05459745998814,Commercial,6,74,152,2,55
Post Office Square - Pearl St at Milk St,42.356755,-71.055407,Commercial,5,83,145,2,53
Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Transit Hub,2,14,15,1,2
Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,Commercial,4,240,135,2,45
Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,Commercial,4,240,135,2,45
Prudential Center / Belvidere,42.345959,-71.082578,Commercial,3,240,136,3,39
Purchase St at Pearl St,42.354659,-71.053181,Commercial,3,47,124,1,51
Railroad Lot and Minuteman Bikeway,42.41606457115141,-71.15336636682059,Park/Recreation,0,41,30,0,20
Raymond Park at Walden St,42.38736953747185,-71.12761001482795,Park/Recreation,0,15,4,1,6
Reservoir Rd at Beacon St,42.331459,-71.157672,Park/Recreation,0,0,0,2,0
Revere Beach - Markey Footbridge,42.414019,-70.989609,Transit Hub,1,1,4,0,0
Revere City Hall,42.40741,-71.0139,Park/Recreation,0,0,0,0,1
Revere Public Library,42.408088,-71.008942,Park/Recreation,0,1,0,0,1
Rindge Avenue - O'Neill Library,42.392766,-71.129042,Park/Recreation,0,29,8,0,12
Ring Rd,42.348278385426255,-71.08044855314802,Park/Recreation,3,281,127,2,53
Ringer Park - Webley St at Armington St,42.35225564,-71.13718336,Commercial,0,123,81,1,42
Riverway at Brookline Ave,42.33661005730433,-71.11004680395126,Park/Recreation,0,4,19,4,3
Rogers St & Land Blvd,42.366446738529454,-71.07654601335526,Park/Recreation,0,13,20,0,22
Roseland St At Dorchester Ave,42.2911685327193,-71.06300890445709,Transit Hub,1,0,0,0,0
Roslindale Village - South St,42.287072,-71.127754,Park/Recreation,1,6,7,0,0
Roslindale Village - South St (former),42.287072,-71.127754,Park/Recreation,1,6,7,0,0
Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,Park/Recreation,1,6,7,0,0
Roslindale Village - Washington St (former),42.2861532,-71.1283744,Park/Recreation,1,6,7,0,0
Ross Playground,42.2645666,-71.1145523,Park/Recreation,0,2,2,0,0
Rowes Wharf - Atlantic Ave,42.357143,-71.050699,Commercial,1,38,82,0,29
Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Commercial,1,38,82,0,29
Roxbury Crossing Station,42.331184,-71.095171,Park/Recreation,1,1,4,4,2
Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Park/Recreation,1,1,4,4,2
Roxbury YMCA,42.317963,-71.082254,Park/Recreation,0,0,1,0,2
Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,Park/Recreation,0,0,1,0,2
Ruggles Station / Columbus Ave.,42.335911,-71.088496,Park/Recreation,2,12,26,2,1
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,Park/Recreation,2,13,27,2,1
Rutherford Ave at Bunker Hill Industrial Park,42.379352,-71.071371,Park/Recreation,0,5,4,0,3
Rutherford Ave at Main St,42.38385,-71.073114,Park/Recreation,1,4,3,0,5
Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Park/Recreation,2,22,6,0,1
Ryan Playground - Dorchester Avenue Station,42.317642,-71.056664,Park/Recreation,2,22,6,0,1
S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,Park/Recreation,0,3,4,0,2
Savin Hill MBTA Station,42.310599,-71.053927,Park/Recreation,1,11,7,0,1
Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Park/Recreation,1,11,7,0,1
Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,Commercial,0,17,54,0,28
Seaport Hotel,42.348833,-71.041747,Commercial,0,8,42,0,7
Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,Commercial,0,8,42,0,7
Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,Commercial,0,13,46,0,16
Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,Commercial,0,12,46,0,13
Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Commercial,2,50,36,0,16
Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Commercial,2,50,36,0,16
Shawmut Ave at E Berkeley St,42.344607,-71.06702,Commercial,0,32,36,3,11
Shawmut Ave at Herald St,42.346647,-71.066049,Commercial,1,34,67,4,18
Shawmut Ave at Lenox St,42.33584612997077,-71.08038157224655,Park/Recreation,0,14,16,2,2
Shawmut Ave at Oak St W,42.34854543411198,-71.06559185315746,Park/Recreation,3,59,110,4,25
Shawmut Ave. at Herald St.,42.346647,-71.066049,Commercial,1,34,67,4,18
Shawmut T Stop,42.292917,-71.06575,Transit Hub,1,1,2,0,1
Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,Park/Recreation,0,6,5,2,22
Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632,Park/Recreation,0,6,5,2,22
Silber Way,42.34949599514002,-71.10057592391968,Park/Recreation,3,24,39,2,14
Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609,Park/Recreation,0,5,3,0,3
Smith St at Parker St,42.33290175,-71.09683344,Park/Recreation,1,2,4,5,3
Soldiers Field Park - 111 Western Ave,42.36426344063853,-71.1182756971175,Park/Recreation,0,4,4,5,1
Somerville City Hall,42.386844,-71.09812,Commercial,1,14,9,0,4
Somerville City Hall Annex,42.39189811591863,-71.09745375830244,Commercial,1,25,7,0,3
Somerville High School & Central Library,42.3864,-71.09601,Transit Hub,1,12,6,0,2
Somerville Hospital,42.390446216041305,-71.10856622457504,Commercial,1,13,14,0,3
Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,Commercial,1,12,9,0,1
South Boston Library - 646 E Broadway,42.335741,-71.03877,Park/Recreation,0,2,8,0,3
South Boston Library - 646 East Broadway,42.335741,-71.03877,Park/Recreation,0,2,8,0,3
South End Library - Tremont St at W Newton St,42.341332,-71.076847,Commercial,0,28,35,1,9
South Station - 700 Atlantic Ave,42.352175,-71.055547,Commercial,3,50,124,4,46
South Station - 700 Atlantic Ave.,42.352175,-71.055547,Commercial,3,50,124,4,46
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Park/Recreation,0,0,1,0,1
Spring St at Powell St,42.277484442008216,-71.16341467955863,Transit Hub,1,2,0,0,1
St Mary's,42.346197076555455,-71.10728681087494,Park/Recreation,3,21,33,6,8
St. Alphonsus St at Tremont St,42.33329254719182,-71.10124647617339,Park/Recreation,1,5,16,5,4
Stadium Rd at Western Ave,42.3630602068896,-71.1250450322948,Park/Recreation,0,5,5,4,3
Staniford St at Merrimac St,42.36358,-71.063721,Park/Recreation,8,43,56,1,18
Staniford at Merrimac,42.36358,-71.063721,Park/Recreation,8,43,56,1,18
State Street at Channel Center,42.344137,-71.052608,Transit Hub,1,6,12,0,4
Steve Miller Dr at Winthrop St (Medford High),42.428086,-71.12636,Park/Recreation,0,0,0,0,0
Stony Brook T Stop,42.316966,-71.104374,Park/Recreation,1,5,5,0,1
Stuart St at Berkeley St,42.34954403114251,-71.0724207387284,Park/Recreation,4,174,69,1,53
Stuart St at Charles St,42.351146,-71.066289,Park/Recreation,5,76,118,4,30
Stuart St at Church St,42.35066667,-71.06830556,Park/Recreation,4,93,79,4,37
Stuart St. at Charles St.,42.351146,-71.066289,Park/Recreation,5,76,118,4,30
Sullivan Square,42.38445225635843,-71.07514854529654,Transit Hub,1,8,5,0,5
Summer St at Cutter St,42.394002,-71.120406,Commercial,1,68,47,0,21
Summer St at Quincy St,42.383709,-71.09983,Commercial,1,66,41,0,8
Sumner St at Shirley Ave,42.408337058129746,-70.99804848432541,Commercial,1,12,18,0,3
Surface Rd at India St,42.358155,-71.052163,Commercial,4,47,99,1,39
Surface Rd at State Street,42.359743,-71.052602,Commercial,4,69,127,1,33
Surface Rd at Summer St,42.35294569782581,-71.05656400803126,Park/Recreation,5,66,154,4,47
Swan Pl. at Minuteman Bikeway,42.414705,-71.152377,Park/Recreation,0,42,28,0,17
Swan Place at Minuteman Bikeway,42.414705,-71.152377,Park/Recreation,0,42,28,0,17
Swan St. Park,42.412504507772105,-71.05842225271772,Commercial,0,19,3,0,9
Sydney St at Carson St,42.32039374304257,-71.05355408051764,Park/Recreation,2,16,3,0,1
TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,Commercial,5,36,68,0,12
TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,Commercial,5,42,78,0,11
TD Garden - West End Park,42.36590788445084,-71.06446668505669,Park/Recreation,4,22,31,0,15
Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Park/Recreation,0,1,0,0,2
Talbot Ave At Blue Hill Ave (former),42.2945833,-71.087111,Park/Recreation,0,1,0,0,2
Talbot Ave T Station,42.29225148276875,-71.07797205453608,Park/Recreation,1,1,1,0,0
Tappan St at Brookline Hills MBTA,42.331370168043215,-71.126884,Park/Recreation,1,11,3,0,0
Teele Square,42.40088,-71.125908,Commercial,1,33,23,1,9
Teele Square at 239 Holland St,42.402763,-71.126908,Commercial,0,18,12,1,4
The Dimock Center,42.3193094317828,-71.09639923859504,Park/Recreation,1,1,4,0,4
The Eddy - New St at Sumner St,42.370744,-71.044201,Commercial,1,51,36,0,16
The Eddy at New Street,42.37078454600501,-71.04426160454749,Commercial,1,51,37,0,17
The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,Park/Recreation,1,163,27,0,37
The Lawn on D,42.344792,-71.044024,Park/Recreation,0,1,13,0,4
The Overlook at St. Gabriel's,42.34679008347347,-71.14549813806661,Park/Recreation,0,11,11,0,2
Thetford Ave at Norfolk St,42.286212948246096,-71.07942931372236,Residential,0,0,0,0,1
Thetford Ave at Norfolk St (former),42.286251,-71.079463,Residential,0,0,0,0,1
Third at Binney,42.36544486137399,-71.08277142047882,Park/Recreation,1,17,38,1,34
Thorndike Field at Minuteman Bikeway,42.40016804853787,-71.14456963094199,Park/Recreation,1,12,5,0,3
Tremont St / W Newton St,42.341332,-71.076847,Commercial,0,28,35,1,9
Tremont St / West St,42.354979,-71.063348,Park/Recreation,5,95,176,4,37
Tremont St at Court St,42.359086,-71.05971,Commercial,7,100,142,2,47
Tremont St at E Berkeley St,42.345392,-71.069616,Commercial,3,39,48,2,16
Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,Park/Recreation,6,86,136,2,53
Tremont St at Hamilton Place,42.35668334969929,-71.06166645884514,Park/Recreation,6,86,136,2,53
Tremont St at Northampton St,42.338432,-71.08169,Commercial,2,30,44,3,5
Tremont St at Northampton St (former),42.33884970690809,-71.08140613892829,Commercial,2,34,41,3,6
Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,Commercial,0,27,41,2,14
Tremont St at West St,42.354979,-71.063348,Park/Recreation,5,95,176,4,37
Tremont St. at Berkeley St.,42.345392,-71.069616,Commercial,3,39,48,2,16
Tremont St. at Court St.,42.359322,-71.059624,Commercial,7,99,143,2,46
Troy Boston,42.343749,-71.062256,Commercial,1,17,18,2,3
Trum Field @ Cedar St (Temp Winter Station),42.398444,-71.107833,Park/Recreation,2,15,10,1,3
Truman Parkway at Fairmount Ave,42.252287,-71.118358,Transit Hub,1,3,4,0,1
Tufts Sq - Main St at Medford St,42.401697,-71.106128,Park/Recreation,1,11,7,0,2
UMass Boston Integrated Sciences Complex,42.3139036,-71.0405121,Park/Recreation,0,0,2,1,3
Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Commercial,0,112,73,1,41
Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,Commercial,0,112,73,1,41
Union Square - Somerville,42.37964789967527,-71.095319,Commercial,1,80,41,0,10
Union Square East,42.380078,-71.090098,Commercial,2,45,19,0,8
Union Square East (Temp Winter Station),42.380078,-71.090098,Commercial,2,45,19,0,8
Union Square Station,42.377309,-71.094428,Commercial,1,96,58,0,19
Union St at Herrick Rd,42.329607,-71.193701,Park/Recreation,1,10,16,0,5
Union St at Herrick Rd â€“ Newton Centre Green Line,42.32956868185623,-71.19367271661758,Park/Recreation,1,10,16,0,5
University Park,42.36264779118595,-71.10006093978882,Commercial,2,43,59,1,31
University of Massachusetts Boston - Campus Center,42.31218918475612,-71.03648586203235,Park/Recreation,0,0,2,1,2
University of Massachusetts Boston - Integrated Sciences Complex,42.314507,-71.041269,Park/Recreation,0,1,3,1,1
Upham's Corner,42.31727474327453,-71.06537003967787,Transit Hub,1,4,3,0,1
Upham's Corner - Columbia Rd,42.31756858003556,-71.06403708501603,Transit Hub,1,4,3,0,1
Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,Transit Hub,1,4,3,0,1
Upham's Corner T Stop,42.318843823601064,-71.06975734233856,Transit Hub,1,2,1,0,0
Upham's Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.0697814822197,Transit Hub,1,2,1,0,0
Upham's Corner TEMPORARY WINTER LOCATION,42.31750891943043,-71.06416625906604,Transit Hub,1,4,3,0,1
Uphams Corner,42.31727474327453,-71.06537003967787,Transit Hub,1,4,3,0,1
Uphams Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.0697814822197,Transit Hub,1,2,1,0,0
Valenti Way at Haverhill St,42.36473898691789,-71.05934903025626,Commercial,6,61,100,1,14
Vassal Lane at Tobin VLUS,42.384233,-71.140329,Park/Recreation,0,17,7,0,3
Vassal Lane at Tobin/VLUS,42.38536765218425,-71.137757,Park/Recreation,0,27,10,0,4
Vassal Lane at Tobin/VLUS (former),42.383928224564585,-71.13962350417751,Park/Recreation,0,19,8,0,3
Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,Park/Recreation,1,48,44,1,18
Vinnin Square,42.48628784971989,-70.90166732668875,Residential,0,10,9,0,0
W Broadway at D St,42.3391085,-71.0514432,Transit Hub,1,6,26,0,2
W Broadway at Dorchester St,42.335958979433094,-71.04622899561036,Residential,0,3,13,0,3
Walbridge St at Commonwealth Ave,42.34775567,-71.1356758,Commercial,0,48,32,1,20
Walk Hill St at American Legion,42.28801503,-71.10730608,Residential,0,7,3,0,0
Walnut Ave at Crawford St,42.316873,-71.091955,Park/Recreation,0,2,1,0,3
Walnut Ave at School St,42.31242399029812,-71.09616905450821,Park/Recreation,0,2,3,0,0
Walnut Ave at Warren St,42.324081,-71.083235,Park/Recreation,0,0,1,0,0
Warren Ave at Dartmouth St,42.3443104650768,-71.0740339266782,Commercial,2,39,50,1,19
Warren St at Chelsea St,42.371848,-71.060292,Park/Recreation,0,10,9,0,3
Wasgatt Playground,42.4093300667225,-71.06381878293178,Park/Recreation,0,2,1,0,0
Wasgott Playground,42.4093300667225,-71.06381878293178,Park/Recreation,0,2,1,0,0
Washington Sq,42.33985827126298,-71.13421171095978,Park/Recreation,0,7,11,0,0
Washington Square at Washington St. / Beacon St.,42.339335,-71.13493,Transit Hub,1,8,11,0,0
Washington Square at Washington St. / Beacon St. TEMPORARY WINTER LOCATION,42.338254270769454,-71.13905482012342,Transit Hub,1,7,11,0,0
Washington St @ New Washington St (Temp Winter Station),42.38103731531107,-71.08709779349738,Commercial,1,34,7,0,4
Washington St at Bowdoin St,42.29916497936589,-71.07345871645519,Park/Recreation,0,1,1,0,0
Washington St at Bradlee St,42.29916497936589,-71.07345871645519,Park/Recreation,0,1,1,0,0
Washington St at Brock St,42.3489528466951,-71.16031676530838,Park/Recreation,0,8,10,2,0
Washington St at Crafts St,42.35389024396587,-71.19943707257335,Park/Recreation,0,2,0,0,1
Washington St at Denton Terr,42.280728147169015,-71.13423757273267,Residential,0,1,2,0,0
Washington St at Egremont Rd,42.34286835071959,-71.14127840855872,Commercial,0,16,17,0,1
Washington St at Egremont Rd (former),42.3429444,-71.1413333,Commercial,0,16,17,0,1
Washington St at Fuller St,42.281986277339136,-71.07147924620222,Residential,0,1,0,0,1
Washington St at Griggs Rd,42.338334237199014,-71.13050930220197,Park/Recreation,0,5,9,0,0
Washington St at Lenox St,42.3350989929096,-71.07903778553009,Park/Recreation,0,10,14,2,2
Washington St at Melnea Cass Blvd,42.332817,-71.081198,Commercial,0,13,13,2,3
Washington St at Mina Way,42.35298248,-71.17322383,Park/Recreation,0,1,5,0,1
Washington St at Myrtle St,42.3817508,-71.0839523,Transit Hub,1,14,4,0,2
Washington St at Myrtle St (former),42.38172115782515,-71.08376650152422,Transit Hub,1,13,4,0,2
Washington St at Northampton St,42.33625888,-71.07756446,Park/Recreation,0,9,13,3,3
Washington St at Peters Park,42.34303291130257,-71.06688730436872,Commercial,0,26,34,3,11
Washington St at Rutland St,42.338514601785995,-71.07404083013535,Park/Recreation,0,9,17,2,3
Washington St at Talbot Ave,42.290333,-71.071806,Transit Hub,1,0,1,0,1
Washington St at Talbot Ave (former),42.290333,-71.071806,Transit Hub,1,0,1,0,1
Washington St at Temple Pl,42.35496799,-71.06097685,Commercial,7,95,207,4,57
Washington St at W Dedham St,42.34033571273476,-71.07179929523453,Commercial,0,15,27,2,9
Washington St at Walsh Playground,42.277194696397906,-71.06955613950048,Park/Recreation,0,1,1,0,2
Washington St at Waltham St,42.34157471873747,-71.06890439987183,Commercial,0,24,31,3,9
Washington St. at Lenox St.,42.3348756,-71.0790969,Park/Recreation,0,9,14,2,3
Washington St. at Rutland St.,42.338623,-71.074182,Park/Recreation,0,11,17,2,3
Washington St. at Waltham St.,42.341522,-71.068922,Commercial,0,23,30,3,9
Watermark Seaport,42.351543104723206,-71.04573011398315,Commercial,0,15,42,0,19
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693,Commercial,0,15,42,0,19
Watertown City Hall,42.36759307632294,-71.18751436471939,Park/Recreation,0,25,22,0,6
Watertown Sq,42.365260317694485,-71.18573324459247,Park/Recreation,0,24,21,0,7
Watertown St at 5th Ave,42.36289,-71.19127,Park/Recreation,0,12,15,0,5
Watertown Town Hall,42.367621,-71.187936,Park/Recreation,0,26,21,0,6
Wellington MBTA,42.4023682,-71.07573182424781,Park/Recreation,1,20,10,0,4
Wentworth Institute of Technology,42.337596,-71.096391,Park/Recreation,0,3,8,7,3
Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,Park/Recreation,0,3,9,7,3
West Broadway at D Street,42.3391085,-71.0514432,Transit Hub,1,6,26,0,2
West Broadway at Dorchester St,42.335693,-71.045859,Residential,0,3,13,0,3
West End Park,42.36590788445084,-71.06446668505669,Park/Recreation,4,22,31,0,15
West Medford Square (Bower St at Harvard Ave),42.420647,-71.133483,Park/Recreation,1,20,11,0,3
Western Ave at Everett St,42.363168,-71.134719,Park/Recreation,0,10,10,2,7
Western Ave at Leo Birmingham Pkwy,42.36155856,-71.14506038,Park/Recreation,0,8,8,0,2
Western Ave at Richardson St,42.36178741066187,-71.14393111327445,Park/Recreation,0,7,5,0,3
Whittier St Health Center,42.332862884862635,-71.09218861916816,Transit Hub,3,3,6,3,2
Williams St at Washington St,42.306539,-71.107669,Park/Recreation,1,5,3,0,5
Wilson Square,42.38567578752914,-71.11412136298895,Commercial,2,81,48,5,15
Winthrop Circle,42.421361,-71.117556,Park/Recreation,0,0,0,0,1
Wood Island T Stop - Vienna St at Bennington St,42.380024,-71.024441,Park/Recreation,1,24,19,0,3
Yawkey Way at Boylston St.,42.344706,-71.097515,Park/Recreation,2,33,48,3,13
